,经纬,latitude,longitude,"""站点名地铁站名"","
47,31.143224 121.511796 '三林地铁站',121.511796,31.143224,三林地铁站
48,31.146459 121.522999 '三林东地铁站',121.522999,31.146459,三林东地铁站
49,31.331898 121.226098 '上海赛车场地铁站',121.226098,31.331898,上海赛车场地铁站
50,31.179123 121.441424 '上海游泳馆地铁站',121.441424,31.179123,上海游泳馆地铁站
51,31.281603 121.349623 '桃浦新村地铁站',121.349623,31.281603,桃浦新村地铁站
52,31.285403 121.180742 '上海汽车城地铁站',121.180742,31.285403,上海汽车城地铁站
53,31.276646 121.364678 '武威路地铁站',121.364678,31.276646,武威路地铁站
54,31.262693 121.400926 '上海西站地铁站',121.400926,31.262693,上海西站地铁站
55,31.158131 121.570914 '御桥地铁站',121.570914,31.158131,御桥地铁站
56,31.166488 121.458519 '云锦路地铁站',121.458519,31.166488,云锦路地铁站
57,31.250767 121.407219 '真如地铁站',121.407219,31.250767,真如地铁站
58,31.289048 121.150315 '兆丰路地铁站',121.150315,31.289048,兆丰路地铁站
59,31.279788 121.552655 '爱国路地铁站',121.552655,31.279788,爱国路地铁站
60,31.282533 121.579124 '东陆路地铁站',121.579124,31.282533,东陆路地铁站
61,31.280779 121.561315 '复兴岛地铁站',121.561315,31.280779,复兴岛地铁站
62,31.25016 121.498158 '国际客运中心地铁站',121.498158,31.25016,国际客运中心地铁站
63,31.26457 121.523697 '江浦公园地铁站',121.523697,31.26457,江浦公园地铁站
64,31.263141 121.638629 '金海路地铁站',121.638629,31.263141,金海路地铁站
65,31.279823 121.615477 '金京路地铁站',121.615477,31.279823,金京路地铁站
66,31.280684 121.588365 '巨峰路地铁站',121.588365,31.280684,巨峰路地铁站
67,31.275213 121.544692 '隆昌路地铁站',121.544692,31.275213,隆昌路地铁站
68,31.268574 121.532352 '宁国路地铁站',121.532352,31.268574,宁国路地铁站
69,31.280231 121.626863 '申江路地铁站',121.626863,31.280231,申江路地铁站
70,31.253518 121.506801 '提篮桥地铁站',121.506801,31.253518,提篮桥地铁站
71,31.280092 121.60296 '杨高北路地铁站',121.60296,31.280092,杨高北路地铁站
72,31.231752 121.394431 '大渡河路地铁站',121.394431,31.231752,大渡河路地铁站
73,31.242553 121.355141 '丰庄地铁站',121.355141,31.242553,丰庄地铁站
74,31.241152 121.335156 '金沙江西路地铁站',121.335156,31.241152,金沙江西路地铁站
75,31.232147 121.413201 '金沙江路地铁站',121.413201,31.232147,金沙江路地铁站
76,31.240986 121.319308 '金运路地铁站',121.319308,31.240986,金运路地铁站
77,31.237625 121.367275 '祁连山南路地铁站',121.367275,31.237625,祁连山南路地铁站
78,31.234346 121.430504 '武宁路地铁站',121.430504,31.234346,武宁路地铁站
79,31.232235 121.381948 '真北路地铁站',121.381948,31.232235,真北路地铁站
80,31.054919 121.617494 '航头东地铁站',121.617494,31.054919,航头东地铁站
81,30.907245 121.929583 '滴水湖地铁站',121.929583,30.907245,滴水湖地铁站
82,31.077797 121.611239 '鹤沙航城地铁站',121.611239,31.077797,鹤沙航城地铁站
83,31.175759 121.583109 '华夏中路地铁站',121.583109,31.175759,华夏中路地铁站
84,31.053828 121.761677 '惠南地铁站',121.761677,31.053828,惠南地铁站
85,31.026448 121.7938 '惠南东地铁站',121.7938,31.026448,惠南东地铁站
86,30.923519 121.910851 '临港大道地铁站',121.910851,30.923519,临港大道地铁站
87,31.203575 121.557634 '龙阳路地铁站',121.557634,31.203575,龙阳路地铁站
88,31.050325 121.699218 '上海野生动物园地铁站',121.699218,31.050325,上海野生动物园地铁站
89,30.959264 121.85052 '书院地铁站',121.85052,30.959264,书院地铁站
90,31.110038 121.606895 '周浦东地铁站',121.606895,31.110038,周浦东地铁站
91,31.045561 121.64898 '新场地铁站',121.64898,31.045561,新场地铁站
92,31.369555 121.430914 '宝安公路地铁站',121.430914,31.369555,宝安公路地铁站
93,31.168344 121.433143 '漕宝路地铁站',121.433143,31.168344,漕宝路地铁站
94,31.213524 121.449141 '常熟路地铁站',121.449141,31.213524,常熟路地铁站
95,31.39226 121.424661 '富锦路地铁站',121.424661,31.39226,富锦路地铁站
96,31.355082 121.434063 '共富新村地铁站',121.434063,31.355082,共富新村地铁站
97,31.318936 121.447063 '共康路地铁站',121.447063,31.318936,共康路地铁站
98,31.241883 121.458699 '汉中路地铁站',121.458699,31.241883,汉中路地铁站
99,31.204528 121.446424 '衡山路地铁站',121.446424,31.204528,衡山路地铁站
100,31.339703 121.437711 '呼兰路地铁站',121.437711,31.339703,呼兰路地铁站
101,31.142217 121.414107 '锦江乐园地铁站',121.414107,31.142217,锦江乐园地铁站
102,31.223898 121.472904 '黄陂南路地铁站',121.472904,31.223898,黄陂南路地铁站
103,31.1309 121.40291 '莲花路地铁站',121.40291,31.1309,莲花路地铁站
104,31.306604 121.448642 '彭浦新村地铁站',121.448642,31.306604,彭浦新村地铁站
105,31.215148 121.458741 '陕西南路地铁站',121.458741,31.215148,陕西南路地铁站
106,31.232687 121.475108 '人民广场地铁站',121.475108,31.232687,人民广场地铁站
107,31.279895 121.452023 '上海马戏城地铁站',121.452023,31.279895,上海马戏城地铁站
108,31.249632 121.457939 '上海火车站地铁站',121.457939,31.249632,上海火车站地铁站
109,31.182813 121.437423 '上海体育馆地铁站',121.437423,31.182813,上海体育馆地铁站
110,31.154579 121.430041 '上海南站地铁站',121.430041,31.154579,上海南站地铁站
111,31.33113 121.441546 '通河新村地铁站',121.441546,31.33113,通河新村地铁站
112,31.111152 121.385373 '莘庄地铁站',121.385373,31.111152,莘庄地铁站
113,31.120899 121.39302 '外环路地铁站',121.39302,31.120899,外环路地铁站
114,31.292556 121.450251 '汶水路地铁站',121.450251,31.292556,汶水路地铁站
115,31.238373 121.468151 '新闸路地铁站',121.468151,31.238373,新闸路地铁站
116,31.381296 121.427953 '友谊西路地铁站',121.427953,31.381296,友谊西路地铁站
117,31.271675 121.455329 '延长路地铁站',121.455329,31.271675,延长路地铁站
118,31.195514 121.436603 '徐家汇地铁站',121.436603,31.195514,徐家汇地铁站
119,31.258891 121.459204 '中山北路地铁站',121.459204,31.258891,中山北路地铁站
120,31.216395 121.373998 '北新泾地铁站',121.373998,31.216395,北新泾地铁站
121,31.213871 121.673713 '创新中路地铁站',121.673713,31.213871,创新中路地铁站
122,31.186741 121.69821 '川沙地铁站',121.69821,31.186741,川沙地铁站
123,31.23327 121.515556 '东昌路地铁站',121.515556,31.23327,东昌路地铁站
124,31.21105 121.621072 '广兰路地铁站',121.621072,31.21105,广兰路地铁站
125,31.194211 121.3263 '虹桥2号航站楼地铁站',121.3263,31.194211,虹桥2号航站楼地铁站
126,31.168459 121.796878 '海天三路地铁站',121.796878,31.168459,海天三路地铁站
127,31.196575 121.680972 '华夏东路地铁站',121.680972,31.196575,华夏东路地铁站
128,31.193987 121.31891 '虹桥火车站地铁站',121.31891,31.193987,虹桥火车站地铁站
129,31.223083 121.446221 '静安寺地铁站',121.446221,31.223083,静安寺地铁站
130,31.192861 121.724095 '凌空路地铁站',121.724095,31.192861,凌空路地铁站
131,31.204213 121.601989 '金科路地铁站',121.601989,31.204213,金科路地铁站
132,31.220408 121.430635 '江苏路地铁站',121.430635,31.220408,江苏路地铁站
133,31.203575 121.557634 '龙阳路地铁站',121.557634,31.203575,龙阳路地铁站
134,31.211158 121.404058 '娄山关路地铁站',121.404058,31.211158,娄山关路地铁站
135,31.149596 121.806436 '浦东国际机场地铁站',121.806436,31.149596,浦东国际机场地铁站
136,31.238259 121.502129 '陆家嘴地铁站',121.502129,31.238259,陆家嘴地铁站
137,31.229853 121.459971 '南京西路地铁站',121.459971,31.229853,南京西路地铁站
138,31.238101 121.484628 '南京东路地铁站',121.484628,31.238101,南京东路地铁站
139,31.209421 121.550909 '世纪公园地铁站',121.550909,31.209421,世纪公园地铁站
140,31.218225 121.359536 '淞虹路地铁站',121.359536,31.218225,淞虹路地铁站
141,31.188367 121.299204 '徐泾东地铁站',121.299204,31.188367,徐泾东地铁站
142,31.214107 121.656269 '唐镇地铁站',121.656269,31.214107,唐镇地铁站
143,31.21487 121.387285 '威宁路地铁站',121.387285,31.21487,威宁路地铁站
144,31.21882 121.544439 '上海科技馆地铁站',121.544439,31.21882,上海科技馆地铁站
145,31.199385 121.755301 '远东大道地铁站',121.755301,31.199385,远东大道地铁站
146,31.201832 121.587687 '张江高科地铁站',121.587687,31.201832,张江高科地铁站
147,31.395315 121.479574 '宝杨路地铁站',121.479574,31.395315,宝杨路地铁站
148,31.239302 121.417701 '曹杨路地铁站',121.417701,31.239302,曹杨路地铁站
149,31.251523 121.476298 '宝山路地铁站',121.476298,31.251523,宝山路地铁站
150,31.217948 121.415773 '中山公园地铁站',121.415773,31.217948,中山公园地铁站
151,31.176746 121.43841 '漕溪路地铁站',121.43841,31.176746,漕溪路地铁站
152,31.289433 121.483216 '大柏树地铁站',121.483216,31.289433,大柏树地铁站
