,线路,站点名,"""站点名地铁站名"","
289,8,中兴路,中兴路地铁站
290,9,漕河泾开发区,漕河泾开发区地铁站
291,9,打浦桥,打浦桥地铁站
292,9,洞泾,洞泾地铁站
293,9,桂林路,桂林路地铁站
294,9,桂林路,桂林路地铁站
295,9,嘉善路,嘉善路地铁站
296,9,九亭,九亭地铁站
297,9,马当路,马当路地铁站
298,9,七宝,七宝地铁站
299,9,商城路,商城路地铁站
300,9,佘山,佘山地铁站
301,9,泗泾,泗泾地铁站
302,9,松江大学城,松江大学城地铁站
303,9,松江南站,松江南站地铁站
304,9,松江体育中心,松江体育中心地铁站
305,9,松江新城,松江新城地铁站
306,9,小南门,小南门地铁站
307,9,星中路,星中路地铁站
308,9,徐家汇,徐家汇地铁站
309,9,杨高中路,杨高中路地铁站
310,9,宜山路,宜山路地铁站
311,9,中春路,中春路地铁站
312,9,醉白池,醉白池地铁站
